mileage_km,engine_temp_c,rpm,vibration_level,oil_quality_pct,brake_pad_mm,battery_voltage,coolant_level_pct,vehicle_age_years,failure_risk
45839.0,109.0,1053.0,0.0596,91.3,8.04,12.74,100.0,1.5,0
48960.0,98.7,2009.0,0.0454,83.8,8.25,12.03,78.3,2.3,0
76003.0,80.7,2743.0,0.0608,87.8,7.75,12.13,96.7,5.1,0
28897.0,77.5,1696.0,0.0159,83.5,8.72,12.25,81.8,1.3,0
38472.0,96.8,2036.0,0.0665,96.2,10.49,11.87,69.1,3.3,0
110242.0,100.8,3084.0,0.0398,87.5,8.16,11.9,71.2,7.2,0
74484.0,104.7,1658.0,0.0047,75.5,11.8,12.27,86.1,4.7,0
62831.0,86.8,2538.0,0.0359,77.1,9.76,12.5,100.0,3.9,0
113960.0,95.6,2723.0,0.0234,67.8,6.76,13.55,77.6,7.5,0
32014.0,100.3,2254.0,0.0393,91.8,12.0,12.12,69.1,1.8,0
44745.0,73.8,2228.0,0.0785,100.0,9.79,12.3,71.2,2.3,0
72763.0,93.3,1483.0,0.0114,75.9,10.23,12.23,65.5,5.6,0
70942.0,100.9,2712.0,0.0081,78.1,9.29,12.89,80.0,4.2,0
14905.0,96.1,1322.0,0.0047,74.2,11.72,12.27,77.3,0.7,0
41316.0,89.0,2474.0,0.0097,86.2,10.07,12.6,69.9,3.1,0
51345.0,121.3,1837.0,0.0177,75.9,9.2,13.47,82.5,3.7,0
78561.0,113.2,1924.0,0.1089,83.7,8.66,13.03,74.3,4.5,0
70762.0,90.1,2059.0,0.1625,82.4,9.2,13.05,85.3,5.3,0
55034.0,87.7,2550.0,0.0031,98.3,8.83,12.27,92.8,4.1,0
7494.0,98.4,3293.0,0.021,100.0,11.33,12.56,77.6,0.6,0
57143.0,89.3,2278.0,0.0144,88.1,8.9,13.07,98.4,3.5,0
61097.0,105.3,1696.0,0.0687,87.8,9.58,13.52,93.1,3.7,0
255430.0,74.8,1192.0,0.0199,35.5,1.05,13.27,84.0,16.9,1
50066.0,87.1,3012.0,0.0292,82.7,8.51,12.45,82.7,2.4,0
73047.0,98.2,2323.0,0.0774,77.6,9.38,11.29,96.8,4.8,0
126707.0,102.0,2038.0,0.0279,68.5,5.78,12.84,67.3,9.2,0
99333.0,72.2,2241.0,0.0395,83.3,9.93,12.78,92.2,7.3,0
147448.0,78.6,2737.0,0.0576,62.0,3.49,12.8,100.0,9.5,0
15152.0,69.9,1913.0,0.0238,98.3,12.0,12.84,66.5,1.9,0
24047.0,79.5,1734.0,0.0452,98.0,10.98,14.08,54.7,3.1,0
36304.0,74.7,1283.0,0.0073,91.8,10.98,13.27,52.5,2.2,0
12576.0,96.5,1445.0,0.0714,83.7,10.53,13.51,68.2,1.4,0
61487.0,92.7,1959.0,0.1036,99.5,8.22,12.23,91.3,2.3,0
25871.0,88.2,2952.0,0.0107,92.8,10.42,12.32,80.2,0.7,0
160132.0,90.3,1844.0,0.0145,63.8,2.78,11.83,83.4,10.7,0
29617.0,104.3,2382.0,0.0084,93.3,10.54,11.78,74.6,1.2,0
44958.0,77.5,2987.0,0.0536,70.0,9.48,12.01,61.4,4.6,0
103354.0,66.8,2467.0,0.0369,74.8,7.86,12.58,79.1,7.4,0
18520.0,98.5,3582.0,0.0395,81.3,11.36,11.74,80.8,2.0,0
11675.0,85.3,2247.0,0.0818,88.4,11.42,11.59,100.0,0.8,0
67080.0,77.8,2090.0,0.0402,88.2,7.48,12.84,95.7,3.7,0
70882.0,96.6,1933.0,0.0349,84.9,8.34,12.67,66.8,4.3,0
101271.0,66.4,3595.0,0.0037,71.1,7.55,12.84,77.9,7.0,0
85238.0,79.7,3054.0,0.0524,69.7,9.71,12.6,71.6,5.2,0
72808.0,61.3,1178.0,0.0513,80.7,7.89,13.25,67.4,5.4,1
32686.0,93.1,3677.0,0.0263,89.8,9.88,12.13,97.3,2.7,0
69470.0,108.9,2549.0,0.0328,84.5,9.78,13.36,69.3,4.6,0
72603.0,83.1,2290.0,0.0712,87.2,8.9,12.75,100.0,3.4,0
31643.0,80.5,2563.0,0.051,93.0,9.45,11.83,76.3,3.5,0
189773.0,111.4,1529.0,0.0283,59.4,2.17,13.03,74.3,12.5,0
82470.0,97.5,2338.0,0.107,84.9,7.7,12.61,72.3,7.7,0
24446.0,118.6,1984.0,0.0213,97.2,11.09,12.56,71.9,2.2,0
101615.0,91.9,1948.0,0.058,63.8,7.02,13.2,57.5,6.6,0
113589.0,92.7,2871.0,0.0754,63.9,7.28,13.0,85.3,7.9,0
79043.0,107.3,2015.0,0.0411,84.6,9.41,12.68,100.0,3.7,0
47933.0,88.2,2270.0,0.0454,81.2,9.04,11.59,100.0,4.0,0
30474.0,93.0,2429.0,0.0302,89.1,8.56,13.0,70.3,4.1,0
54918.0,60.9,2861.0,0.0063,95.7,9.51,12.05,74.0,2.0,0
75146.0,110.9,3088.0,0.0614,85.9,9.63,12.96,100.0,4.8,0
58923.0,94.7,2210.0,0.0182,88.0,8.45,12.9,83.9,3.8,0
151743.0,88.7,1935.0,0.0238,61.9,4.68,12.41,74.4,10.8,0
91417.0,100.9,3533.0,0.0935,85.6,5.71,12.48,87.2,7.8,0
27542.0,75.8,600.0,0.001,98.1,10.88,12.91,100.0,2.1,0
22092.0,83.4,2807.0,0.0056,98.1,11.28,13.47,98.1,3.2,0
82962.0,96.6,2099.0,0.0933,61.4,7.66,13.41,99.3,5.7,0
48808.0,90.5,2599.0,0.0225,87.8,12.0,12.13,84.8,3.6,0
96908.0,95.4,2229.0,0.0153,71.7,6.51,12.65,94.5,6.7,0
82436.0,93.0,3097.0,0.0196,74.6,6.79,12.73,73.7,6.5,0
55104.0,97.6,2493.0,0.0316,89.4,10.37,11.82,100.0,3.3,0
27827.0,74.2,1205.0,0.0229,95.6,9.91,12.73,61.5,2.5,0
13167.0,105.3,1174.0,0.0733,100.0,12.0,12.43,92.9,0.2,0
68552.0,84.2,2049.0,0.0022,83.1,8.32,12.05,58.2,4.3,0
18209.0,90.7,2625.0,0.0403,89.8,11.21,12.26,75.0,0.7,0
26817.0,82.8,3115.0,0.0339,87.1,10.34,11.3,75.8,1.9,0
65559.0,86.6,1731.0,0.0273,100.0,7.67,12.18,77.9,4.1,0
61003.0,92.7,652.0,0.002,95.8,8.26,11.33,48.6,5.0,0
20430.0,98.8,2502.0,0.0491,95.6,10.26,12.32,84.6,0.7,0
122231.0,100.8,2230.0,0.0132,58.4,6.19,11.12,77.1,6.8,0
120080.0,95.2,2300.0,0.0448,71.3,6.11,12.81,79.6,6.9,0
84837.0,82.9,1429.0,0.1013,85.3,7.94,12.65,59.7,6.5,0
84765.0,94.4,3035.0,0.0191,84.2,6.49,13.24,63.6,4.9,0
84838.0,92.9,1629.0,0.0423,84.4,6.73,12.02,68.5,6.0,0
112930.0,90.7,2416.0,0.0066,82.1,6.9,12.44,81.3,7.3,0
92994.0,96.4,2393.0,0.0951,72.7,6.87,12.08,95.8,6.9,0
29918.0,74.7,2585.0,0.0558,90.3,11.44,12.35,93.9,1.8,0
48274.0,65.7,1679.0,0.1112,97.7,9.58,12.65,77.0,5.4,0
237879.0,104.3,1554.0,0.0238,29.8,0.5,12.36,97.4,17.4,0
8102.0,88.4,2797.0,0.0542,100.0,10.63,12.65,93.3,0.3,0
39502.0,95.0,2587.0,0.0679,97.8,11.7,12.0,95.4,2.3,0
122668.0,79.6,2435.0,0.0175,69.3,6.7,12.97,82.7,10.7,0
31614.0,105.1,2988.0,0.0047,93.7,9.23,12.91,86.7,1.2,0
94744.0,94.2,2439.0,0.0436,76.8,8.08,12.94,85.3,6.3,0
60417.0,87.8,1941.0,0.001,89.8,8.84,12.91,68.1,4.0,0
33567.0,93.4,2563.0,0.0066,72.6,11.52,12.8,91.4,2.2,0
6335.0,69.1,2515.0,0.0081,100.0,11.78,12.96,100.0,0.2,0
67170.0,94.5,2533.0,0.0419,73.2,7.82,12.29,91.5,4.9,0
29351.0,107.8,1582.0,0.0111,84.0,11.21,12.15,85.9,1.2,0
53301.0,93.8,1515.0,0.0643,79.3,7.72,11.91,80.2,4.7,0
84256.0,92.2,2816.0,0.0906,79.8,8.24,13.36,78.5,4.5,0
106848.0,86.2,2096.0,0.0391,72.5,6.22,11.82,74.4,7.2,0
39397.0,103.0,840.0,0.0521,85.1,9.73,12.5,91.5,0.9,0
33513.0,104.8,1240.0,0.0161,90.4,9.1,12.46,100.0,0.5,0
17896.0,84.8,1277.0,0.0156,96.2,11.2,11.45,75.9,0.5,0
110412.0,94.3,2947.0,0.0267,69.2,6.18,11.83,89.6,6.8,0
216360.0,92.8,2166.0,0.0401,40.5,1.44,12.07,76.1,15.6,0
118527.0,94.8,2225.0,0.0089,78.3,5.59,11.97,79.9,7.9,0
136346.0,80.7,1953.0,0.0392,53.1,4.33,12.32,66.9,10.1,0
31844.0,103.7,1459.0,0.0219,89.2,12.0,11.87,88.1,1.8,0
80773.0,96.8,2732.0,0.0732,84.0,9.22,11.8,85.6,5.9,0
100802.0,104.4,2657.0,0.0141,79.2,6.92,11.7,78.1,6.1,0
23210.0,76.6,1707.0,0.0459,99.8,11.59,11.57,68.7,0.9,0
167550.0,77.3,3181.0,0.0811,61.9,2.3,12.23,100.0,9.7,0
14637.0,114.7,2721.0,0.0365,94.9,12.0,12.94,84.3,1.2,0
150698.0,103.8,1602.0,0.0833,52.9,5.0,12.05,100.0,10.3,0
14535.0,80.2,1999.0,0.0602,97.1,12.0,12.61,89.0,1.6,0
24274.0,100.4,1942.0,0.0134,94.5,10.55,11.67,87.6,1.8,0
81804.0,84.4,2419.0,0.0121,82.9,8.61,12.2,93.5,7.1,0
61545.0,69.6,1200.0,0.0351,79.6,8.31,13.46,98.5,4.2,0
42598.0,64.8,1706.0,0.0336,87.8,11.15,12.59,99.2,3.6,0
163350.0,89.7,2756.0,0.0835,55.9,4.27,12.88,100.0,10.6,0
18374.0,108.7,1089.0,0.0737,87.4,10.18,12.36,86.8,0.5,0
51740.0,108.3,2062.0,0.0116,91.8,7.82,12.01,85.9,4.0,0
89159.0,105.1,1342.0,0.0055,79.8,7.05,12.17,63.4,5.9,0
71973.0,100.0,2839.0,0.0352,91.9,8.26,12.92,74.0,5.5,0
34478.0,93.8,2440.0,0.0526,100.0,11.18,12.17,79.8,2.6,0
35550.0,103.8,1173.0,0.0246,88.9,10.31,13.12,78.6,1.7,0
105759.0,65.9,1470.0,0.0207,79.2,4.53,11.89,55.0,7.9,0
109154.0,101.9,2210.0,0.0566,75.2,7.2,13.42,91.5,6.6,0
73349.0,76.5,600.0,0.0626,79.6,10.0,13.03,75.2,5.4,0
28321.0,79.0,1430.0,0.0125,92.7,11.75,13.13,99.0,2.9,0
36506.0,98.4,1623.0,0.0183,87.4,9.6,12.19,84.3,2.1,0
57394.0,101.1,3099.0,0.0322,83.6,8.36,12.93,89.7,4.8,0
63797.0,82.7,1796.0,0.0422,82.2,9.47,12.29,83.5,4.6,0
86710.0,97.8,2662.0,0.058,80.1,8.44,12.54,63.1,6.5,0
49666.0,96.8,1869.0,0.1206,79.9,9.55,12.74,87.7,2.6,0
104143.0,86.3,2721.0,0.0075,70.9,5.18,12.26,98.2,7.1,0
103353.0,91.8,1113.0,0.0617,62.9,6.73,12.77,63.2,5.8,0
139438.0,115.0,1694.0,0.0426,65.8,5.15,12.12,78.9,10.7,0
59288.0,86.6,2123.0,0.0315,84.7,8.16,11.25,55.4,2.3,0
74241.0,87.0,2324.0,0.0325,94.2,9.58,12.68,73.1,4.7,0
52648.0,91.8,2427.0,0.0608,92.0,9.22,12.22,61.7,2.8,0
28623.0,87.8,2335.0,0.0236,92.8,10.27,12.49,77.1,2.4,0
213153.0,99.5,2554.0,0.1233,38.6,2.89,11.68,100.0,15.7,0
127870.0,107.6,2192.0,0.0429,55.8,5.1,12.13,93.4,9.0,0
101915.0,87.0,2322.0,0.0779,60.7,6.02,12.22,86.1,9.2,0
57782.0,79.7,1491.0,0.0047,93.6,8.66,12.04,77.1,2.7,0
26458.0,113.7,1067.0,0.034,94.8,11.32,12.87,67.5,0.7,0
114418.0,91.4,1417.0,0.0171,81.5,6.08,12.35,83.7,6.9,0
51938.0,69.5,1019.0,0.0475,99.2,7.45,12.67,74.1,3.6,0
79052.0,112.3,2357.0,0.0135,80.2,8.88,13.51,67.8,4.4,0
36389.0,103.5,2857.0,0.002,97.6,11.79,13.64,66.0,1.8,0
70117.0,109.2,1536.0,0.0166,92.0,8.02,12.83,86.9,5.2,0
38295.0,107.2,2906.0,0.0269,86.7,11.02,12.83,82.3,1.6,0
39533.0,121.7,2516.0,0.0589,94.5,11.75,13.59,99.0,1.7,0
69459.0,77.6,1812.0,0.0177,99.4,7.23,12.83,82.9,4.3,0
14317.0,80.5,1955.0,0.0357,79.8,10.26,12.99,100.0,0.7,0
15049.0,84.1,2981.0,0.0068,87.0,11.7,11.94,81.1,1.8,0
31520.0,83.7,600.0,0.0367,92.1,9.89,12.66,91.7,1.4,0
49211.0,91.5,2978.0,0.0665,86.8,9.79,12.57,93.4,2.7,0
106302.0,84.1,2827.0,0.0136,49.0,6.32,11.77,99.7,7.6,0
51401.0,75.7,1788.0,0.1317,84.2,9.97,13.6,100.0,4.1,0
57501.0,79.5,2135.0,0.0213,77.6,9.05,12.23,100.0,5.0,0
46238.0,86.5,3339.0,0.0795,98.2,10.85,11.77,50.0,3.5,0
74164.0,103.7,1283.0,0.0625,89.9,10.38,13.79,79.4,5.0,0
28370.0,83.1,2073.0,0.1004,95.9,10.48,12.17,82.7,2.4,0
53556.0,99.7,2653.0,0.0203,98.1,11.56,11.95,87.4,3.4,0
78432.0,74.1,2347.0,0.048,90.1,9.8,12.52,83.4,5.0,0
69056.0,60.0,2236.0,0.0235,99.0,9.14,12.63,92.2,3.2,0
58904.0,88.4,3472.0,0.0464,90.2,9.59,12.3,100.0,4.6,0
59448.0,82.7,1424.0,0.0248,86.7,9.27,12.87,63.7,4.1,0
83853.0,79.4,1456.0,0.0938,85.3,6.25,11.83,91.6,6.2,0
219737.0,78.0,600.0,0.0101,37.1,1.27,11.7,72.8,12.4,1
30077.0,81.5,1445.0,0.018,97.3,11.37,13.83,86.6,2.0,0
223767.0,78.2,1734.0,0.0979,39.0,0.5,12.37,100.0,14.2,1
28903.0,79.2,2424.0,0.0563,98.1,9.21,12.13,74.5,3.1,0
5373.0,73.7,2872.0,0.0254,95.0,12.0,12.82,75.1,0.8,0
37656.0,64.4,1525.0,0.1917,72.7,11.94,12.08,100.0,2.7,0
75178.0,63.5,2100.0,0.0723,91.0,9.1,11.68,100.0,4.7,0
190806.0,119.5,3177.0,0.0078,46.0,2.46,12.02,78.6,13.0,1
26427.0,89.2,2069.0,0.054,84.3,10.79,11.92,83.3,1.0,0
83503.0,108.3,2563.0,0.0039,85.0,7.54,12.48,68.2,5.5,0
16703.0,87.9,2985.0,0.0423,99.5,11.87,12.69,100.0,0.7,0
186389.0,88.3,1549.0,0.0576,63.2,3.87,11.77,90.6,14.2,0
129503.0,93.7,1407.0,0.0983,69.0,6.09,12.4,84.6,9.8,0
39598.0,97.7,3335.0,0.0582,90.6,9.99,12.61,100.0,3.5,0
143384.0,75.0,2605.0,0.014,61.3,5.6,11.99,89.0,8.4,0
53309.0,85.4,1271.0,0.0175,86.0,9.41,11.78,95.4,4.2,0
134044.0,93.7,1460.0,0.0599,67.1,6.46,11.7,84.0,9.1,0
58571.0,66.8,2060.0,0.0655,79.1,7.82,13.18,84.9,4.9,0
60482.0,105.6,3176.0,0.08,82.7,9.69,11.65,72.0,4.3,0
40269.0,102.8,2887.0,0.0084,89.9,9.26,12.54,80.1,2.7,0
91245.0,64.8,2947.0,0.0097,72.7,8.32,12.47,87.3,6.3,0
63939.0,79.5,1895.0,0.1267,88.7,9.72,12.44,80.7,2.8,0
84802.0,91.3,2195.0,0.1178,80.6,8.45,12.69,100.0,5.0,0
12847.0,100.1,1641.0,0.1231,88.0,12.0,12.28,81.8,1.2,0
137205.0,108.3,1909.0,0.0298,58.7,6.35,12.02,78.6,10.1,1
160240.0,82.4,1414.0,0.0938,64.2,3.88,11.48,83.0,10.2,0
63718.0,118.1,1590.0,0.0556,85.2,9.63,12.57,77.8,4.2,1
209780.0,89.4,1692.0,0.0288,46.2,0.5,12.38,98.0,12.7,1
179026.0,87.3,2098.0,0.0256,54.1,3.01,12.07,89.9,13.1,0
92624.0,96.7,2494.0,0.0094,88.4,6.62,13.2,85.2,7.1,0
144602.0,93.7,3366.0,0.065,61.2,4.04,11.73,100.0,10.2,0
120418.0,93.1,1944.0,0.0582,81.8,5.33,12.23,84.1,8.4,0
9490.0,114.0,2612.0,0.0404,87.7,12.0,12.77,84.2,1.9,0
46987.0,93.0,2075.0,0.0754,89.8,10.07,13.75,76.7,2.5,0
97133.0,78.2,2874.0,0.1119,87.2,6.79,12.2,66.8,5.7,0
167204.0,79.9,1321.0,0.0711,53.3,2.06,12.49,93.4,12.0,0
15556.0,107.7,1825.0,0.0082,90.7,11.9,11.79,65.7,1.8,0
10255.0,98.2,2664.0,0.0595,89.7,10.31,11.95,85.0,0.2,0
55859.0,71.3,2607.0,0.0199,81.7,8.86,13.52,100.0,3.3,0
5910.0,70.7,2620.0,0.0241,100.0,10.58,12.86,77.1,1.7,0
54398.0,90.3,3186.0,0.0389,81.9,9.58,12.23,83.7,4.0,0
76515.0,97.4,986.0,0.1096,94.1,6.26,13.06,80.8,5.7,0
25337.0,81.9,1322.0,0.114,100.0,11.59,12.92,90.6,0.8,0
55547.0,69.8,2593.0,0.032,93.5,9.02,12.36,91.3,4.2,0
113010.0,76.5,2769.0,0.0134,75.0,7.0,11.83,100.0,6.4,0
37504.0,109.7,2659.0,0.017,83.4,9.21,12.03,91.6,0.9,0
29341.0,96.0,4096.0,0.0694,94.6,11.74,12.67,79.1,2.5,0
53630.0,102.0,1559.0,0.0124,95.8,9.06,13.18,80.2,4.7,0
22946.0,104.0,2458.0,0.0373,100.0,8.95,13.47,91.2,1.3,0
199759.0,82.5,2150.0,0.0371,44.4,0.5,11.38,75.8,12.9,1
59941.0,85.5,2635.0,0.0906,82.6,10.65,12.27,85.9,5.4,0
32085.0,88.0,2463.0,0.0378,79.9,10.91,13.16,83.8,2.0,0
68546.0,95.0,1838.0,0.0218,79.4,9.46,11.64,62.3,4.5,0
53404.0,103.1,2471.0,0.0335,83.1,9.22,12.72,83.5,4.9,0
48908.0,112.4,2258.0,0.057,88.5,9.98,12.48,93.4,3.0,0
37496.0,99.8,2290.0,0.0473,91.4,11.22,12.57,80.4,2.0,0
35992.0,99.9,2994.0,0.0031,86.3,10.32,13.79,78.7,3.1,0
13161.0,113.1,3936.0,0.0114,93.8,12.0,12.63,94.6,0.3,0
144457.0,87.5,860.0,0.0978,56.4,3.93,12.21,87.9,9.5,0
88456.0,104.3,3102.0,0.0271,65.8,9.23,13.62,86.4,4.8,0
73558.0,96.9,2650.0,0.0555,70.8,9.96,13.06,77.4,5.1,0
52742.0,97.4,1681.0,0.0164,70.6,8.47,12.82,100.0,3.6,0
24934.0,87.4,1946.0,0.0328,100.0,9.83,11.1,58.8,2.4,0
30397.0,73.3,2817.0,0.0197,86.5,12.0,13.07,85.0,2.7,0
14780.0,94.1,2235.0,0.0314,100.0,11.7,12.27,83.4,1.4,0
33724.0,94.2,2166.0,0.0858,93.0,10.45,12.93,83.8,2.6,0
21841.0,83.1,1719.0,0.0859,85.2,9.58,12.27,93.5,1.4,0
172597.0,88.8,1669.0,0.2047,39.4,3.16,11.46,65.7,12.0,1
107927.0,79.4,1524.0,0.0454,69.4,7.58,12.57,100.0,6.3,0
61900.0,79.5,1843.0,0.0937,90.6,7.72,12.77,54.9,2.2,0
27429.0,84.2,2110.0,0.0948,91.3,11.07,12.05,89.8,2.8,0
22897.0,74.1,2448.0,0.0758,89.5,11.01,12.82,100.0,2.1,0
50149.0,83.0,1624.0,0.0254,92.1,9.31,12.78,99.2,3.2,0
110988.0,98.6,2729.0,0.0155,84.9,7.77,11.44,61.0,8.3,0
15212.0,107.5,1564.0,0.0225,93.4,10.45,12.31,97.5,0.4,0
87648.0,114.9,2738.0,0.0231,84.1,7.59,11.92,88.4,5.3,0
33597.0,85.2,1594.0,0.0036,91.9,10.4,12.3,87.9,1.6,0
38975.0,104.4,3612.0,0.0049,84.4,10.35,12.32,77.3,3.1,0
60553.0,94.0,2654.0,0.0291,88.3,10.47,11.98,88.6,2.8,0
28266.0,87.2,2789.0,0.052,100.0,9.86,13.69,86.8,1.3,0
48189.0,94.8,2080.0,0.0952,85.6,10.36,12.71,55.0,3.4,0
26184.0,103.2,2625.0,0.0218,95.4,11.4,12.06,80.3,0.8,0
35960.0,84.0,1323.0,0.0547,70.8,11.1,12.29,93.6,1.9,0
99556.0,83.7,1517.0,0.0198,73.7,7.28,12.41,76.2,4.9,0
62938.0,85.1,1985.0,0.1264,81.7,8.02,12.04,80.8,4.7,0
99297.0,82.5,3263.0,0.0039,69.0,7.98,10.85,95.0,6.1,0
33223.0,104.4,2905.0,0.0071,99.1,10.05,12.02,100.0,1.3,0
88101.0,80.8,634.0,0.1148,63.7,8.83,13.27,80.7,4.8,0
11368.0,82.9,1510.0,0.0431,89.3,10.45,14.24,76.9,0.4,0
60533.0,93.7,2139.0,0.0254,88.5,10.69,12.99,93.6,2.8,0
92207.0,92.8,3079.0,0.0287,87.1,8.75,12.64,65.4,7.7,0
10860.0,85.1,2371.0,0.0153,100.0,11.06,12.36,82.7,0.2,0
33559.0,110.2,600.0,0.0621,89.5,9.78,12.98,100.0,1.9,0
60501.0,82.4,1379.0,0.0682,84.6,8.67,12.7,54.9,4.1,0
116640.0,87.9,2704.0,0.169,69.4,6.26,12.45,76.3,7.2,0
35957.0,66.9,2343.0,0.1317,89.5,10.5,13.74,67.2,2.6,0
85697.0,86.3,2294.0,0.0166,89.9,8.26,12.95,72.7,5.1,0
150723.0,74.1,2978.0,0.0385,65.7,4.61,12.14,100.0,11.3,0
88486.0,79.0,1958.0,0.0299,76.1,6.83,12.55,76.8,5.0,0
49631.0,66.5,2689.0,0.0741,91.6,9.48,12.98,83.5,1.4,0
76762.0,79.3,3349.0,0.0249,96.8,8.02,11.79,88.4,4.1,0
35077.0,89.1,2357.0,0.0366,81.0,12.0,12.32,89.4,2.6,0
62334.0,87.1,1574.0,0.0174,73.9,7.63,11.87,83.6,4.1,0
51578.0,85.0,1901.0,0.0132,78.8,11.49,11.14,100.0,4.0,0
74956.0,86.1,1568.0,0.1019,73.4,7.61,12.32,61.6,5.4,0
41632.0,83.9,631.0,0.0868,92.6,8.81,13.14,73.7,2.3,0
78033.0,89.6,1647.0,0.0266,72.8,7.85,12.66,59.9,4.8,0
41304.0,88.7,2645.0,0.0788,85.9,11.26,13.53,77.2,2.4,0
107212.0,93.3,2207.0,0.2102,58.6,7.81,13.61,78.7,8.7,0
44807.0,87.6,3151.0,0.1793,100.0,10.11,12.84,86.2,3.5,0
6203.0,84.8,2301.0,0.0217,96.2,12.0,12.54,90.3,1.9,0
23611.0,99.3,2819.0,0.0202,100.0,11.71,13.23,81.4,2.2,0
59170.0,97.2,968.0,0.0258,83.6,9.43,12.32,77.9,3.9,0
171602.0,89.6,1893.0,0.1537,63.0,3.74,12.01,85.2,10.6,0
104408.0,104.3,2012.0,0.0883,74.3,5.49,11.5,100.0,7.1,0
4608.0,91.0,1622.0,0.0603,100.0,10.44,13.14,78.3,0.3,0
13784.0,88.1,3268.0,0.0153,100.0,11.15,12.84,88.5,0.8,0
126778.0,89.2,849.0,0.117,54.7,4.1,12.76,97.2,8.3,0
91851.0,92.0,2120.0,0.093,71.3,6.55,12.64,81.5,4.5,0
232844.0,79.0,2993.0,0.0383,44.5,0.96,12.26,60.1,16.5,0
